CELL_LINE_NAME,Compound1_name,Compound2_name,combo_MaxE,HSA_matrix,label
22RV1,AZD0156,AZD1775,0.345998342,-0.041047748,0
22RV1,AZD0156,AZD2811,0.266494129,-0.003701475,0
22RV1,AZD0156,AZD6738,0.523647449,-0.032168937,0
22RV1,AZD0156,Olaparib,0.483102416,0.075828578,0
22RV1,AZD1775,AZD6738,0.635834009,0.015853926,0
22RV1,AZD1775,Capivasertib,0.615553549,0.044837327,0
22RV1,AZD1775,Gemcitabine,0.744010372,0.063219862,0
22RV1,AZD1775,Olaparib,0.322611872,0.017212164,0
22RV1,AZD1775,SN-38,0.731587493,0.032862362,0
22RV1,AZD2811,AZD1775,0.233762856,-0.014694987,0
22RV1,AZD2811,AZD6738,0.565723525,-0.058629102,0
22RV1,AZD2811,Olaparib,0.336800316,0.032147408,0
22RV1,AZD4320,AZD0156,0.385355756,-0.004400937,0
22RV1,AZD4320,AZD1775,0.320879235,-0.021569985,0
22RV1,AZD4320,AZD2811,0.259045969,-0.008443984,0
22RV1,AZD4320,AZD6738,0.624381451,-0.078199728,0
22RV1,AZD4320,AZD7648,0.425948587,-0.021938082,0
22RV1,AZD4320,AZD8186,0.455472439,0.038588772,0
22RV1,AZD4320,Capivasertib,0.47102551,-0.015460317,0
22RV1,AZD4320,Gemcitabine,0.748101617,0.010637406,0
22RV1,AZD4320,Lapatinib,0.335421258,-0.005095115,0
22RV1,AZD4320,Paclitaxel,0.844745294,0.024681185,0
22RV1,AZD4320,Selumetinib,0.4529511045,0.1695157645,0
22RV1,AZD5153,AZD1775,0.528880039,0.055767939,0
22RV1,AZD5153,AZD2811,0.522265728,0.027256524,0
22RV1,AZD5153,AZD5991,0.856513495,0.055992156,0
22RV1,AZD5153,AZD6738,0.644717044,0.064955102,0
22RV1,AZD5153,Selumetinib,0.55537191,0.097773993,0
22RV1,AZD5153,Venetoclax,0.485869706,-0.000572187,0
22RV1,AZD5991,AZD0156,0.475556803,-0.104389007,0
22RV1,AZD5991,AZD1775,0.452994741,0.038632515,0
22RV1,AZD5991,AZD2811,0.398902433,0.031858777,0
22RV1,AZD5991,AZD6738,0.710098406,0.073235608,0
22RV1,AZD5991,AZD7648,0.574773235,-0.005855148,0
22RV1,AZD5991,AZD8186,0.480088096,0.045735217,0
22RV1,AZD5991,Capivasertib,0.705567113,0.072338093,0
22RV1,AZD5991,Gemcitabine,0.885994962,0.048193479,0
22RV1,AZD5991,Lapatinib,0.550035773,0.021533989,0
22RV1,AZD5991,Paclitaxel,0.911890197,0.094462689,0
